District,Season,Rainfall,Temperature,LandType,Irrigation,SoilType,Recommended_Crop
Kannur,Rabi,Medium,Hot,Coastal,No,Clay,Coconut
Palakkad,Summer,High,Cool,Upland,Yes,Clay,Tapioca
Alappuzha,Summer,High,Cool,Upland,Yes,Clay,Tapioca
Pathanamthitta,Kharif,High,Cool,Hill,No,Sandy,Cardamom
Thiruvananthapuram,Rabi,Medium,Cool,Coastal,Yes,Clay,Coconut
Thiruvananthapuram,Rabi,Medium,Hot,Lowland,No,Clay,Banana
Idukki,Kharif,High,Cool,Upland,No,Loam,Tapioca
Malappuram,Summer,High,Moderate,Coastal,Yes,Clay,Coconut
Kottayam,Rabi,High,Hot,Coastal,No,Laterite,Cashew
Alappuzha,Rabi,Low,Cool,Lowland,No,Clay,Banana
Idukki,Rabi,Medium,Hot,Upland,No,Laterite,Banana
Wayanad,Rabi,High,Hot,Lowland,No,Clay,Banana
Kottayam,Kharif,High,Hot,Coastal,No,Sandy,Arecanut
Kottayam,Kharif,High,Hot,Lowland,No,Laterite,Banana
Thiruvananthapuram,Kharif,Medium,Moderate,Lowland,No,Loam,Banana
Ernakulam,Rabi,Medium,Moderate,Coastal,Yes,Clay,Coconut
Pathanamthitta,Kharif,Low,Hot,Coastal,No,Clay,Coconut
Malappuram,Rabi,High,Hot,Coastal,Yes,Sandy,Arecanut
Idukki,Rabi,High,Moderate,Hill,No,Clay,Pepper
Kozhikode,Summer,Medium,Hot,Coastal,Yes,Loam,Coconut
Palakkad,Summer,Medium,Moderate,Upland,No,Loam,Banana
Wayanad,Summer,High,Moderate,Lowland,No,Sandy,Banana
Thrissur,Kharif,Low,Moderate,Coastal,Yes,Loam,Coconut
Kasaragod,Kharif,Medium,Cool,Lowland,No,Loam,Banana
Thiruvananthapuram,Summer,Low,Moderate,Lowland,No,Loam,Banana
Thrissur,Summer,Low,Cool,Coastal,No,Loam,Coconut
Kollam,Summer,Low,Hot,Lowland,No,Loam,Banana
Kottayam,Kharif,High,Moderate,Upland,No,Sandy,Tapioca
Wayanad,Kharif,Medium,Moderate,Upland,No,Loam,Rubber
Palakkad,Rabi,Medium,Cool,Coastal,No,Loam,Coconut
Kasaragod,Rabi,High,Moderate,Hill,Yes,Sandy,Pepper
Wayanad,Summer,Medium,Cool,Lowland,No,Loam,Banana
Malappuram,Summer,Medium,Hot,Lowland,No,Laterite,Banana
Palakkad,Summer,Medium,Moderate,Hill,No,Clay,Pepper
Palakkad,Rabi,High,Cool,Coastal,Yes,Sandy,Cashew
Palakkad,Kharif,High,Cool,Upland,Yes,Loam,Tapioca
Palakkad,Kharif,High,Cool,Upland,Yes,Loam,Tapioca
Kozhikode,Kharif,High,Hot,Upland,No,Sandy,Tapioca
Kollam,Summer,High,Moderate,Hill,Yes,Sandy,Pepper
Wayanad,Rabi,Low,Cool,Hill,Yes,Clay,Pepper
Thiruvananthapuram,Rabi,Medium,Moderate,Upland,Yes,Laterite,Banana
Kollam,Kharif,High,Moderate,Hill,Yes,Clay,Pepper
Thiruvananthapuram,Summer,High,Moderate,Coastal,No,Sandy,Cashew
Thrissur,Kharif,High,Cool,Hill,Yes,Clay,Cardamom
Wayanad,Summer,High,Cool,Upland,No,Clay,Tapioca
Thrissur,Summer,Low,Moderate,Hill,No,Laterite,Pepper
Pathanamthitta,Kharif,Low,Moderate,Hill,No,Laterite,Pepper
Kollam,Rabi,High,Cool,Coastal,No,Sandy,Arecanut
Thrissur,Summer,Medium,Cool,Upland,No,Sandy,Rubber
Alappuzha,Kharif,High,Hot,Coastal,No,Loam,Coconut
Alappuzha,Kharif,Low,Cool,Upland,Yes,Loam,Ginger
Kollam,Summer,Low,Hot,Lowland,No,Loam,Banana
Thiruvananthapuram,Summer,Low,Moderate,Lowland,Yes,Sandy,Banana
Thiruvananthapuram,Rabi,Medium,Cool,Coastal,Yes,Laterite,Arecanut
Kasaragod,Rabi,High,Hot,Coastal,Yes,Clay,Coconut
Thiruvananthapuram,Summer,High,Cool,Lowland,Yes,Sandy,Rice
Kasaragod,Kharif,High,Moderate,Hill,Yes,Clay,Pepper
Thiruvananthapuram,Kharif,Low,Moderate,Lowland,No,Sandy,Banana
Pathanamthitta,Kharif,Medium,Hot,Coastal,No,Sandy,Arecanut
Thiruvananthapuram,Kharif,High,Hot,Coastal,Yes,Loam,Coconut
Ernakulam,Summer,Medium,Moderate,Upland,No,Laterite,Rubber
Idukki,Rabi,Medium,Cool,Coastal,Yes,Clay,Coconut
Idukki,Rabi,Low,Moderate,Upland,No,Loam,Tapioca
Kottayam,Rabi,Medium,Cool,Hill,No,Laterite,Pepper
Ernakulam,Summer,High,Moderate,Lowland,No,Clay,Banana
Kozhikode,Rabi,Medium,Hot,Upland,Yes,Clay,Rubber
Kozhikode,Rabi,High,Hot,Hill,No,Loam,Pepper
Ernakulam,Rabi,Low,Moderate,Upland,No,Laterite,Tapioca
Wayanad,Kharif,Medium,Hot,Hill,Yes,Laterite,Pepper
Malappuram,Kharif,Medium,Cool,Hill,Yes,Laterite,Pepper
Kollam,Summer,Low,Moderate,Lowland,No,Laterite,Banana
Thiruvananthapuram,Summer,High,Moderate,Coastal,No,Loam,Coconut
Alappuzha,Rabi,High,Moderate,Upland,No,Loam,Ginger
Kannur,Kharif,Medium,Cool,Coastal,No,Clay,Coconut
Ernakulam,Rabi,High,Moderate,Lowland,Yes,Loam,Rice
Kottayam,Rabi,Medium,Cool,Coastal,No,Sandy,Arecanut
Kannur,Kharif,Low,Hot,Upland,Yes,Sandy,Tapioca
Alappuzha,Kharif,Low,Cool,Upland,No,Sandy,Tapioca
Kozhikode,Rabi,Low,Cool,Hill,No,Loam,Pepper
Kottayam,Summer,Low,Moderate,Coastal,Yes,Sandy,Cashew
Kottayam,Rabi,Low,Moderate,Coastal,No,Loam,Coconut
Kannur,Summer,Low,Cool,Lowland,No,Sandy,Banana
Kottayam,Rabi,Low,Hot,Upland,Yes,Laterite,Tapioca
Kozhikode,Rabi,Low,Hot,Hill,No,Loam,Pepper
Wayanad,Summer,Medium,Cool,Hill,No,Loam,Pepper
Idukki,Kharif,Medium,Moderate,Upland,No,Loam,Banana
Idukki,Kharif,Low,Hot,Coastal,Yes,Sandy,Arecanut
Pathanamthitta,Rabi,Medium,Cool,Coastal,Yes,Sandy,Arecanut
Palakkad,Kharif,High,Hot,Hill,No,Clay,Pepper
Thiruvananthapuram,Summer,Low,Hot,Coastal,No,Clay,Coconut
Thrissur,Summer,High,Hot,Lowland,No,Laterite,Banana
Kannur,Summer,High,Moderate,Upland,Yes,Sandy,Tapioca
Kasaragod,Summer,High,Cool,Hill,No,Sandy,Coffee
Ernakulam,Kharif,Low,Cool,Coastal,Yes,Laterite,Arecanut
Malappuram,Rabi,High,Cool,Upland,No,Laterite,Tapioca
Thiruvananthapuram,Rabi,High,Moderate,Upland,Yes,Sandy,Ginger
Kasaragod,Summer,Medium,Hot,Lowland,No,Laterite,Banana
Thiruvananthapuram,Kharif,High,Moderate,Hill,Yes,Laterite,Pepper
Palakkad,Rabi,High,Cool,Hill,Yes,Laterite,Tea
Palakkad,Summer,Low,Moderate,Upland,Yes,Clay,Tapioca
Idukki,Kharif,Medium,Moderate,Lowland,No,Clay,Banana
Kannur,Summer,Low,Cool,Lowland,No,Clay,Banana
Ernakulam,Rabi,Medium,Moderate,Lowland,No,Clay,Banana
Palakkad,Kharif,Medium,Cool,Coastal,No,Laterite,Cashew
Thiruvananthapuram,Summer,Low,Cool,Lowland,No,Loam,Banana
Kannur,Rabi,Medium,Moderate,Coastal,No,Loam,Coconut
Idukki,Rabi,Medium,Cool,Upland,Yes,Sandy,Banana
Kottayam,Rabi,Medium,Moderate,Hill,Yes,Clay,Pepper
Thiruvananthapuram,Summer,Medium,Moderate,Hill,Yes,Sandy,Pepper
Idukki,Rabi,Low,Moderate,Upland,No,Laterite,Tapioca
Malappuram,Summer,Medium,Hot,Upland,No,Loam,Banana
Idukki,Summer,Medium,Cool,Hill,Yes,Loam,Pepper
Ernakulam,Rabi,Low,Hot,Upland,Yes,Sandy,Tapioca
Ernakulam,Kharif,Medium,Moderate,Lowland,No,Clay,Banana
Malappuram,Kharif,Low,Cool,Upland,No,Loam,Tapioca
Ernakulam,Rabi,Low,Cool,Upland,Yes,Laterite,Ginger
Pathanamthitta,Kharif,High,Cool,Coastal,No,Laterite,Cashew
Kasaragod,Kharif,High,Cool,Lowland,Yes,Laterite,Rice
Kozhikode,Rabi,High,Moderate,Upland,Yes,Laterite,Tapioca
Wayanad,Rabi,High,Moderate,Lowland,No,Loam,Banana
Kannur,Summer,High,Moderate,Upland,No,Laterite,Ginger
Kannur,Kharif,Low,Hot,Upland,No,Clay,Tapioca
Kollam,Kharif,Medium,Hot,Hill,No,Clay,Pepper
Malappuram,Summer,Medium,Hot,Coastal,Yes,Sandy,Arecanut
Ernakulam,Kharif,Low,Cool,Coastal,Yes,Sandy,Arecanut
Kottayam,Summer,Medium,Hot,Coastal,Yes,Clay,Coconut
Kollam,Rabi,Medium,Hot,Coastal,Yes,Laterite,Arecanut
Kannur,Rabi,High,Moderate,Lowland,No,Clay,Banana
Thrissur,Kharif,High,Hot,Lowland,No,Clay,Banana
Wayanad,Kharif,High,Hot,Upland,Yes,Sandy,Tapioca
Idukki,Rabi,Medium,Moderate,Hill,No,Clay,Pepper
Wayanad,Summer,High,Moderate,Coastal,No,Sandy,Cashew
Ernakulam,Kharif,Low,Hot,Lowland,Yes,Sandy,Banana
Pathanamthitta,Summer,Low,Hot,Coastal,Yes,Loam,Coconut
Wayanad,Kharif,High,Moderate,Hill,Yes,Clay,Pepper
Pathanamthitta,Rabi,Low,Moderate,Lowland,No,Loam,Banana
Alappuzha,Summer,Low,Moderate,Coastal,No,Loam,Coconut
Kannur,Rabi,High,Cool,Lowland,No,Clay,Banana
Kottayam,Summer,Low,Cool,Coastal,Yes,Clay,Coconut
Thrissur,Summer,Medium,Cool,Hill,No,Loam,Pepper
Kasaragod,Summer,Medium,Cool,Coastal,Yes,Clay,Coconut
Malappuram,Summer,Medium,Hot,Hill,Yes,Sandy,Pepper
Pathanamthitta,Rabi,Medium,Moderate,Upland,Yes,Loam,Banana
Kollam,Summer,High,Moderate,Coastal,No,Laterite,Cashew
Malappuram,Kharif,Low,Moderate,Lowland,No,Laterite,Banana
Thiruvananthapuram,Kharif,Medium,Hot,Upland,No,Laterite,Banana
Kannur,Kharif,High,Moderate,Coastal,Yes,Sandy,Cashew
Palakkad,Kharif,High,Moderate,Coastal,Yes,Loam,Coconut
Kannur,Summer,Medium,Moderate,Coastal,No,Loam,Coconut
Kottayam,Rabi,Low,Moderate,Hill,Yes,Sandy,Pepper
Idukki,Kharif,Medium,Cool,Hill,No,Loam,Pepper
Ernakulam,Rabi,Low,Hot,Coastal,No,Loam,Coconut
Wayanad,Kharif,High,Moderate,Hill,Yes,Sandy,Pepper
Pathanamthitta,Rabi,Low,Hot,Hill,No,Sandy,Pepper
Thiruvananthapuram,Rabi,High,Moderate,Coastal,Yes,Loam,Coconut
Pathanamthitta,Rabi,Medium,Cool,Lowland,No,Sandy,Banana
Kozhikode,Summer,High,Cool,Upland,Yes,Loam,Ginger
Palakkad,Kharif,High,Cool,Lowland,Yes,Laterite,Rice
Thiruvananthapuram,Kharif,Low,Cool,Hill,No,Loam,Pepper
Idukki,Rabi,High,Moderate,Lowland,No,Sandy,Banana
Thrissur,Summer,Low,Moderate,Coastal,No,Loam,Coconut
Pathanamthitta,Kharif,Low,Hot,Coastal,No,Laterite,Cashew
Pathanamthitta,Kharif,High,Hot,Coastal,No,Loam,Coconut
Thiruvananthapuram,Summer,High,Cool,Hill,No,Laterite,Tea
Kannur,Summer,Low,Cool,Upland,No,Loam,Tapioca
Kollam,Kharif,Medium,Moderate,Lowland,No,Sandy,Banana
Thrissur,Summer,Low,Cool,Hill,No,Loam,Pepper
Thiruvananthapuram,Rabi,Medium,Hot,Hill,Yes,Clay,Pepper
Kannur,Kharif,Medium,Moderate,Coastal,No,Loam,Coconut
Pathanamthitta,Kharif,Low,Hot,Upland,Yes,Clay,Ginger
Pathanamthitta,Summer,High,Hot,Upland,No,Loam,Ginger
Ernakulam,Summer,Medium,Cool,Lowland,Yes,Clay,Banana
Kottayam,Kharif,High,Hot,Lowland,Yes,Loam,Rice
Pathanamthitta,Summer,High,Moderate,Coastal,Yes,Loam,Coconut
Malappuram,Summer,High,Hot,Coastal,No,Clay,Coconut
Pathanamthitta,Kharif,High,Cool,Lowland,Yes,Clay,Rice
Thiruvananthapuram,Summer,High,Cool,Lowland,No,Sandy,Banana
Palakkad,Summer,High,Hot,Coastal,Yes,Sandy,Arecanut
Kottayam,Rabi,High,Cool,Upland,Yes,Laterite,Ginger
Kollam,Summer,Medium,Cool,Upland,Yes,Sandy,Banana
Alappuzha,Rabi,Medium,Cool,Hill,Yes,Laterite,Pepper
Kasaragod,Rabi,High,Moderate,Hill,Yes,Sandy,Pepper
Idukki,Rabi,Low,Moderate,Hill,Yes,Clay,Pepper
Pathanamthitta,Kharif,Medium,Hot,Coastal,Yes,Loam,Coconut
Wayanad,Kharif,Medium,Moderate,Lowland,Yes,Sandy,Banana
Kasaragod,Summer,Low,Hot,Coastal,No,Laterite,Cashew
Wayanad,Summer,High,Moderate,Coastal,Yes,Loam,Coconut
Thrissur,Kharif,Low,Cool,Lowland,Yes,Sandy,Banana
Kozhikode,Kharif,Medium,Cool,Lowland,No,Laterite,Banana
Thiruvananthapuram,Rabi,Low,Hot,Coastal,No,Sandy,Cashew
Alappuzha,Kharif,Medium,Moderate,Upland,Yes,Clay,Banana
Ernakulam,Rabi,Medium,Hot,Upland,Yes,Loam,Banana
Idukki,Kharif,Low,Moderate,Hill,Yes,Loam,Pepper
Palakkad,Summer,Low,Hot,Hill,No,Loam,Pepper
Palakkad,Summer,Medium,Hot,Hill,Yes,Sandy,Pepper
Wayanad,Rabi,Low,Hot,Coastal,No,Laterite,Arecanut
Kottayam,Kharif,Medium,Cool,Upland,No,Sandy,Banana
Thrissur,Rabi,High,Moderate,Upland,Yes,Laterite,Ginger
Malappuram,Summer,High,Moderate,Hill,No,Loam,Pepper
Kottayam,Summer,High,Cool,Coastal,No,Laterite,Cashew
Kannur,Rabi,Low,Cool,Upland,Yes,Laterite,Ginger
Alappuzha,Kharif,Medium,Hot,Coastal,No,Sandy,Arecanut
Pathanamthitta,Summer,High,Hot,Coastal,Yes,Sandy,Arecanut
Alappuzha,Rabi,Medium,Moderate,Upland,Yes,Loam,Rubber
Palakkad,Rabi,Medium,Cool,Coastal,Yes,Sandy,Cashew
Thrissur,Rabi,Low,Moderate,Lowland,No,Sandy,Banana
Malappuram,Rabi,Low,Cool,Coastal,No,Laterite,Arecanut
Alappuzha,Kharif,Medium,Moderate,Coastal,No,Laterite,Arecanut
Malappuram,Summer,Medium,Moderate,Coastal,Yes,Laterite,Cashew
Kottayam,Summer,Low,Hot,Coastal,Yes,Laterite,Cashew
Wayanad,Summer,High,Moderate,Hill,No,Loam,Pepper
Pathanamthitta,Rabi,Low,Moderate,Lowland,No,Clay,Banana
Wayanad,Summer,Low,Cool,Coastal,Yes,Sandy,Arecanut
Kannur,Rabi,Medium,Hot,Upland,Yes,Loam,Banana
Idukki,Kharif,High,Moderate,Hill,Yes,Sandy,Pepper
Idukki,Rabi,Low,Moderate,Lowland,Yes,Loam,Banana
Thiruvananthapuram,Rabi,High,Cool,Upland,Yes,Loam,Tapioca
Kollam,Summer,Medium,Hot,Coastal,Yes,Clay,Coconut
Palakkad,Rabi,Medium,Hot,Hill,No,Clay,Pepper
Kasaragod,Kharif,High,Moderate,Hill,Yes,Laterite,Pepper
Kannur,Kharif,High,Moderate,Lowland,Yes,Sandy,Rice
Kollam,Rabi,High,Cool,Lowland,No,Loam,Banana
Thiruvananthapuram,Rabi,High,Hot,Upland,Yes,Sandy,Ginger
Kottayam,Summer,High,Cool,Lowland,No,Loam,Banana
Alappuzha,Kharif,Medium,Hot,Coastal,Yes,Loam,Coconut
Kozhikode,Kharif,Low,Moderate,Lowland,Yes,Loam,Banana
Palakkad,Rabi,High,Cool,Coastal,No,Clay,Coconut
Kottayam,Kharif,High,Hot,Hill,Yes,Sandy,Pepper
Malappuram,Kharif,High,Hot,Lowland,No,Sandy,Banana
Malappuram,Summer,Medium,Hot,Hill,Yes,Laterite,Pepper
Kottayam,Rabi,Low,Cool,Upland,Yes,Clay,Tapioca
Kasaragod,Kharif,Medium,Moderate,Lowland,No,Sandy,Banana
Kottayam,Rabi,Low,Cool,Hill,No,Sandy,Pepper
Kasaragod,Rabi,Medium,Hot,Lowland,Yes,Loam,Banana
Kasaragod,Kharif,Low,Moderate,Lowland,Yes,Loam,Banana
Pathanamthitta,Kharif,High,Moderate,Coastal,No,Clay,Coconut
Kasaragod,Summer,Medium,Hot,Upland,Yes,Laterite,Banana
Wayanad,Summer,Low,Cool,Lowland,No,Loam,Banana
Kottayam,Summer,High,Hot,Hill,No,Loam,Pepper
Wayanad,Summer,Low,Cool,Upland,No,Laterite,Tapioca
Kottayam,Rabi,High,Cool,Lowland,No,Sandy,Banana
Ernakulam,Summer,High,Cool,Hill,No,Loam,Coffee
Idukki,Rabi,Low,Hot,Upland,No,Loam,Ginger
Malappuram,Rabi,Medium,Moderate,Upland,Yes,Sandy,Banana
Ernakulam,Rabi,Low,Hot,Upland,Yes,Loam,Tapioca
Ernakulam,Summer,High,Moderate,Lowland,Yes,Loam,Rice
Kasaragod,Summer,High,Hot,Hill,Yes,Laterite,Pepper
Malappuram,Kharif,Low,Hot,Hill,Yes,Clay,Pepper
Kollam,Rabi,Medium,Hot,Upland,Yes,Clay,Rubber
Idukki,Rabi,Low,Hot,Hill,No,Sandy,Pepper
Palakkad,Rabi,High,Cool,Lowland,No,Clay,Banana
Wayanad,Summer,Medium,Hot,Upland,No,Laterite,Banana
Malappuram,Summer,Low,Hot,Hill,Yes,Laterite,Pepper
Kannur,Rabi,Low,Cool,Lowland,No,Loam,Banana
Thrissur,Summer,High,Moderate,Hill,Yes,Loam,Pepper
Thrissur,Kharif,Medium,Cool,Coastal,No,Loam,Coconut
Ernakulam,Summer,High,Moderate,Coastal,No,Loam,Coconut
Thrissur,Summer,Low,Cool,Coastal,No,Clay,Coconut
Kottayam,Kharif,Medium,Hot,Coastal,Yes,Loam,Coconut
Palakkad,Summer,Medium,Moderate,Lowland,No,Sandy,Banana
Kollam,Kharif,Low,Cool,Coastal,Yes,Sandy,Arecanut
Thrissur,Rabi,High,Cool,Coastal,Yes,Sandy,Cashew
Thiruvananthapuram,Summer,Medium,Hot,Upland,Yes,Clay,Banana
Kannur,Kharif,Low,Moderate,Coastal,Yes,Loam,Coconut
Kasaragod,Rabi,Low,Hot,Hill,Yes,Clay,Pepper
Pathanamthitta,Summer,High,Cool,Coastal,Yes,Loam,Coconut
Kozhikode,Rabi,High,Hot,Lowland,Yes,Laterite,Rice
Kottayam,Rabi,High,Cool,Hill,No,Loam,Cardamom
Pathanamthitta,Rabi,High,Cool,Upland,Yes,Loam,Tapioca
Kottayam,Kharif,High,Moderate,Lowland,Yes,Sandy,Rice
Kozhikode,Rabi,High,Moderate,Upland,Yes,Laterite,Tapioca
Wayanad,Rabi,Low,Moderate,Lowland,Yes,Laterite,Banana
Idukki,Kharif,High,Hot,Upland,Yes,Sandy,Tapioca
Wayanad,Kharif,Low,Hot,Lowland,Yes,Loam,Banana
Alappuzha,Summer,High,Moderate,Lowland,No,Sandy,Banana
Malappuram,Summer,Low,Cool,Coastal,No,Laterite,Cashew
Alappuzha,Rabi,Low,Moderate,Lowland,Yes,Clay,Banana
Kannur,Rabi,Low,Moderate,Upland,Yes,Loam,Tapioca
Kannur,Summer,Medium,Cool,Upland,No,Sandy,Banana
Malappuram,Kharif,High,Moderate,Coastal,Yes,Loam,Coconut
Kannur,Kharif,Low,Cool,Lowland,Yes,Sandy,Banana
Alappuzha,Kharif,High,Cool,Hill,Yes,Laterite,Tea
Thrissur,Kharif,High,Moderate,Coastal,Yes,Loam,Coconut
Malappuram,Rabi,Medium,Hot,Hill,No,Laterite,Pepper
Idukki,Rabi,Medium,Hot,Upland,Yes,Sandy,Banana
Ernakulam,Kharif,Low,Moderate,Lowland,No,Loam,Banana
Malappuram,Rabi,Medium,Hot,Upland,Yes,Loam,Rubber
Palakkad,Rabi,High,Moderate,Upland,No,Sandy,Tapioca
Palakkad,Summer,High,Hot,Upland,Yes,Sandy,Tapioca
Kottayam,Summer,High,Hot,Upland,Yes,Sandy,Tapioca
Pathanamthitta,Summer,Medium,Cool,Hill,No,Laterite,Pepper
Pathanamthitta,Kharif,High,Moderate,Lowland,Yes,Laterite,Rice
Malappuram,Rabi,Low,Hot,Lowland,No,Laterite,Banana
Kozhikode,Rabi,Low,Moderate,Hill,No,Loam,Pepper
Pathanamthitta,Rabi,Low,Cool,Lowland,Yes,Clay,Banana
Pathanamthitta,Summer,Medium,Cool,Hill,No,Loam,Pepper
Malappuram,Summer,Medium,Cool,Coastal,No,Laterite,Cashew
Kottayam,Summer,High,Cool,Hill,Yes,Laterite,Tea
Idukki,Summer,Medium,Moderate,Lowland,No,Sandy,Banana
Malappuram,Rabi,High,Moderate,Coastal,No,Loam,Coconut
Kozhikode,Rabi,High,Moderate,Coastal,No,Loam,Coconut
Alappuzha,Summer,High,Hot,Hill,No,Loam,Pepper
Alappuzha,Rabi,Medium,Hot,Upland,Yes,Loam,Rubber
Kozhikode,Rabi,Medium,Moderate,Lowland,No,Clay,Banana
Idukki,Rabi,Medium,Moderate,Coastal,No,Clay,Coconut
Wayanad,Kharif,Low,Hot,Lowland,No,Loam,Banana
Alappuzha,Rabi,Medium,Hot,Lowland,Yes,Laterite,Banana
Alappuzha,Summer,High,Hot,Coastal,No,Sandy,Cashew
Kozhikode,Kharif,Medium,Moderate,Lowland,No,Loam,Banana
Thrissur,Rabi,Low,Hot,Lowland,No,Clay,Banana
Ernakulam,Rabi,Low,Hot,Coastal,No,Sandy,Arecanut
Kollam,Rabi,Medium,Cool,Hill,Yes,Loam,Pepper
Wayanad,Summer,Medium,Moderate,Hill,Yes,Clay,Pepper
Malappuram,Summer,Low,Hot,Lowland,Yes,Laterite,Banana
Kottayam,Rabi,High,Moderate,Upland,No,Clay,Ginger
Malappuram,Kharif,High,Cool,Lowland,No,Loam,Banana
Pathanamthitta,Summer,Low,Moderate,Lowland,No,Sandy,Banana
Kottayam,Rabi,Low,Cool,Upland,Yes,Loam,Tapioca
Alappuzha,Rabi,High,Hot,Hill,Yes,Clay,Pepper
Kottayam,Summer,Low,Cool,Upland,Yes,Sandy,Tapioca
Kottayam,Kharif,Low,Hot,Lowland,No,Clay,Banana
Kozhikode,Rabi,High,Moderate,Lowland,Yes,Clay,Rice
Ernakulam,Rabi,High,Hot,Upland,Yes,Loam,Ginger
Malappuram,Rabi,Medium,Cool,Coastal,Yes,Clay,Coconut
Ernakulam,Summer,High,Hot,Hill,No,Sandy,Pepper
Kollam,Rabi,Medium,Cool,Upland,No,Laterite,Banana
Wayanad,Summer,Medium,Cool,Hill,Yes,Loam,Pepper
Wayanad,Rabi,High,Hot,Coastal,Yes,Loam,Coconut
Palakkad,Kharif,Low,Hot,Lowland,Yes,Loam,Banana
Thrissur,Kharif,Medium,Cool,Hill,No,Sandy,Pepper
