District,Season,Rainfall,Temperature,LandType,Irrigation,SoilType,Recommended_Crop
Kollam,Summer,Low,Hot,Lowland,Yes,Laterite,Banana
Kasaragod,Kharif,Medium,Cool,Upland,No,Sandy,Rubber
Idukki,Rabi,High,Cool,Upland,Yes,Laterite,Tapioca
Thiruvananthapuram,Rabi,Low,Hot,Upland,No,Loam,Tapioca
Kozhikode,Summer,Medium,Moderate,Upland,No,Clay,Banana
Kasaragod,Rabi,High,Cool,Hill,No,Laterite,Cardamom
Kannur,Rabi,Medium,Moderate,Hill,Yes,Laterite,Pepper
Malappuram,Summer,Medium,Hot,Upland,Yes,Sandy,Banana
Kasaragod,Rabi,Medium,Moderate,Upland,No,Laterite,Banana
Idukki,Kharif,High,Cool,Upland,Yes,Laterite,Ginger
Kasaragod,Summer,Low,Hot,Hill,Yes,Sandy,Pepper
Palakkad,Rabi,Low,Moderate,Coastal,Yes,Loam,Coconut
Thiruvananthapuram,Kharif,Low,Hot,Coastal,No,Loam,Coconut
Kottayam,Kharif,High,Cool,Lowland,Yes,Clay,Rice
Idukki,Kharif,High,Hot,Hill,Yes,Laterite,Pepper
Kannur,Summer,Low,Moderate,Hill,Yes,Clay,Pepper
Kollam,Rabi,Medium,Cool,Upland,Yes,Sandy,Banana
Kozhikode,Rabi,Low,Cool,Hill,No,Laterite,Pepper
Kollam,Kharif,Medium,Cool,Lowland,No,Clay,Banana
Kannur,Rabi,Low,Moderate,Lowland,Yes,Sandy,Banana
Palakkad,Rabi,Medium,Moderate,Upland,Yes,Loam,Rubber
Kozhikode,Rabi,Medium,Hot,Upland,Yes,Loam,Banana
Kasaragod,Summer,High,Hot,Lowland,No,Sandy,Banana
Kozhikode,Kharif,High,Moderate,Coastal,No,Laterite,Cashew
Kottayam,Summer,Low,Cool,Upland,No,Sandy,Tapioca
Kozhikode,Summer,High,Moderate,Lowland,No,Clay,Banana
Kasaragod,Rabi,Medium,Hot,Hill,No,Clay,Pepper
Wayanad,Summer,Low,Hot,Upland,Yes,Sandy,Tapioca
Wayanad,Summer,High,Moderate,Hill,Yes,Sandy,Pepper
Kottayam,Summer,Medium,Cool,Coastal,Yes,Loam,Coconut
Palakkad,Rabi,Medium,Cool,Coastal,Yes,Laterite,Cashew
Kottayam,Rabi,Medium,Hot,Hill,Yes,Loam,Pepper
Wayanad,Rabi,Low,Moderate,Upland,Yes,Loam,Tapioca
Kollam,Rabi,Medium,Hot,Lowland,No,Loam,Banana
Kasaragod,Summer,Medium,Moderate,Lowland,No,Laterite,Banana
Thiruvananthapuram,Rabi,Low,Cool,Lowland,Yes,Sandy,Banana
Malappuram,Summer,Medium,Hot,Lowland,No,Loam,Banana
Idukki,Rabi,High,Cool,Coastal,No,Loam,Coconut
Wayanad,Summer,High,Hot,Coastal,Yes,Loam,Coconut
Kozhikode,Rabi,Low,Hot,Coastal,No,Clay,Coconut
Malappuram,Kharif,High,Moderate,Coastal,No,Sandy,Cashew
Kozhikode,Kharif,Low,Moderate,Upland,No,Clay,Tapioca
Kottayam,Kharif,Low,Cool,Lowland,No,Laterite,Banana
Thrissur,Summer,Medium,Hot,Lowland,Yes,Laterite,Banana
Kannur,Rabi,High,Hot,Coastal,Yes,Sandy,Cashew
Kottayam,Summer,Medium,Moderate,Hill,No,Sandy,Pepper
Palakkad,Rabi,Low,Moderate,Upland,No,Loam,Ginger
Thiruvananthapuram,Kharif,Low,Cool,Coastal,No,Clay,Coconut
Thrissur,Summer,High,Hot,Upland,No,Clay,Ginger
Kollam,Summer,Low,Cool,Upland,Yes,Laterite,Ginger
Pathanamthitta,Rabi,High,Hot,Lowland,No,Laterite,Banana
Kasaragod,Summer,Medium,Hot,Hill,Yes,Loam,Pepper
Alappuzha,Kharif,Low,Moderate,Upland,Yes,Sandy,Tapioca
Palakkad,Summer,Medium,Cool,Coastal,No,Laterite,Cashew
Wayanad,Rabi,High,Hot,Hill,Yes,Clay,Pepper
Thrissur,Summer,Medium,Cool,Hill,Yes,Loam,Pepper
Alappuzha,Summer,Low,Hot,Upland,Yes,Loam,Tapioca
Idukki,Rabi,Low,Cool,Upland,No,Sandy,Ginger
Idukki,Kharif,Low,Hot,Upland,No,Loam,Ginger
Ernakulam,Rabi,High,Cool,Hill,No,Loam,Cardamom
Malappuram,Summer,Low,Moderate,Coastal,No,Sandy,Arecanut
Malappuram,Summer,High,Hot,Upland,No,Loam,Ginger
Thiruvananthapuram,Rabi,Low,Moderate,Coastal,No,Laterite,Arecanut
Ernakulam,Rabi,High,Cool,Lowland,Yes,Loam,Rice
Ernakulam,Kharif,Medium,Moderate,Upland,No,Laterite,Rubber
Thrissur,Kharif,Low,Cool,Upland,Yes,Laterite,Tapioca
Ernakulam,Summer,Low,Moderate,Coastal,Yes,Sandy,Cashew
Wayanad,Summer,Low,Cool,Lowland,No,Laterite,Banana
Thiruvananthapuram,Rabi,Medium,Hot,Coastal,No,Sandy,Arecanut
Ernakulam,Summer,High,Hot,Lowland,Yes,Laterite,Rice
Pathanamthitta,Rabi,High,Moderate,Upland,Yes,Clay,Tapioca
Kannur,Kharif,Medium,Hot,Coastal,Yes,Loam,Coconut
Idukki,Kharif,High,Hot,Upland,No,Loam,Tapioca
Wayanad,Kharif,Medium,Hot,Upland,No,Laterite,Rubber
Kozhikode,Kharif,Low,Cool,Lowland,Yes,Laterite,Banana
Ernakulam,Kharif,Low,Hot,Upland,Yes,Sandy,Tapioca
Alappuzha,Summer,Low,Hot,Hill,No,Loam,Pepper
Pathanamthitta,Rabi,High,Moderate,Upland,Yes,Sandy,Ginger
Alappuzha,Rabi,Low,Moderate,Hill,Yes,Loam,Pepper
Alappuzha,Summer,High,Cool,Coastal,No,Loam,Coconut
Wayanad,Summer,Low,Moderate,Coastal,No,Sandy,Arecanut
Malappuram,Rabi,Medium,Hot,Hill,Yes,Sandy,Pepper
Thiruvananthapuram,Summer,Medium,Hot,Hill,Yes,Loam,Pepper
Alappuzha,Summer,Medium,Hot,Hill,Yes,Clay,Pepper
Kasaragod,Summer,Medium,Moderate,Upland,Yes,Sandy,Banana
Palakkad,Summer,Low,Moderate,Lowland,Yes,Sandy,Banana
Thiruvananthapuram,Rabi,Low,Moderate,Upland,Yes,Loam,Tapioca
Kasaragod,Kharif,Medium,Hot,Lowland,Yes,Clay,Banana
Alappuzha,Summer,High,Cool,Coastal,No,Loam,Coconut
Kozhikode,Kharif,Medium,Hot,Upland,Yes,Loam,Banana
Pathanamthitta,Kharif,High,Cool,Coastal,Yes,Clay,Coconut
Pathanamthitta,Kharif,Medium,Hot,Upland,No,Clay,Banana
Kottayam,Rabi,High,Moderate,Hill,No,Sandy,Pepper
Wayanad,Rabi,Medium,Moderate,Upland,Yes,Clay,Banana
Thiruvananthapuram,Rabi,Medium,Moderate,Upland,Yes,Loam,Banana
Pathanamthitta,Summer,Low,Moderate,Hill,No,Laterite,Pepper
Idukki,Rabi,High,Moderate,Hill,No,Clay,Pepper
Thiruvananthapuram,Summer,High,Cool,Upland,Yes,Loam,Tapioca
Thiruvananthapuram,Rabi,Medium,Cool,Lowland,Yes,Loam,Banana
Idukki,Summer,High,Moderate,Coastal,No,Loam,Coconut
Kasaragod,Rabi,High,Hot,Lowland,No,Sandy,Banana
Kollam,Summer,Low,Moderate,Upland,No,Laterite,Tapioca
Palakkad,Summer,High,Hot,Coastal,Yes,Laterite,Arecanut
Pathanamthitta,Summer,High,Hot,Hill,Yes,Loam,Pepper
Thiruvananthapuram,Rabi,Low,Cool,Upland,No,Sandy,Tapioca
Kannur,Kharif,Low,Cool,Upland,No,Laterite,Tapioca
Malappuram,Summer,High,Hot,Lowland,No,Laterite,Banana
Thrissur,Summer,High,Moderate,Hill,No,Sandy,Pepper
Pathanamthitta,Summer,High,Cool,Coastal,Yes,Laterite,Arecanut
Palakkad,Summer,Low,Moderate,Lowland,No,Laterite,Banana
Kasaragod,Summer,Medium,Moderate,Coastal,No,Sandy,Arecanut
Thiruvananthapuram,Rabi,Low,Cool,Upland,No,Loam,Ginger
Thrissur,Rabi,Low,Hot,Lowland,Yes,Loam,Banana
Pathanamthitta,Rabi,Low,Moderate,Coastal,No,Clay,Coconut
Ernakulam,Summer,High,Cool,Coastal,Yes,Laterite,Arecanut
Kottayam,Kharif,Low,Hot,Lowland,Yes,Sandy,Banana
Kannur,Rabi,Medium,Moderate,Hill,No,Clay,Pepper
Ernakulam,Summer,High,Hot,Hill,Yes,Sandy,Pepper
Kannur,Kharif,High,Hot,Hill,Yes,Clay,Pepper
Kannur,Kharif,Medium,Moderate,Hill,Yes,Clay,Pepper
Kozhikode,Summer,Low,Cool,Upland,Yes,Sandy,Ginger
Kozhikode,Summer,Medium,Cool,Lowland,Yes,Clay,Banana
Wayanad,Kharif,Medium,Hot,Upland,Yes,Loam,Banana
Kollam,Summer,High,Cool,Lowland,No,Loam,Banana
Pathanamthitta,Summer,High,Cool,Hill,No,Loam,Cardamom
Pathanamthitta,Summer,High,Hot,Upland,Yes,Sandy,Tapioca
Malappuram,Rabi,High,Hot,Hill,Yes,Laterite,Pepper
Kasaragod,Kharif,Low,Cool,Upland,No,Sandy,Ginger
Kannur,Summer,Low,Cool,Upland,Yes,Sandy,Tapioca
Kozhikode,Rabi,Low,Moderate,Hill,Yes,Laterite,Pepper
Kannur,Summer,High,Moderate,Lowland,No,Clay,Banana
Thiruvananthapuram,Summer,High,Cool,Lowland,No,Laterite,Banana
Kasaragod,Summer,Medium,Hot,Hill,No,Sandy,Pepper
Kozhikode,Summer,Medium,Moderate,Hill,No,Laterite,Pepper
Kollam,Kharif,Medium,Moderate,Hill,Yes,Laterite,Pepper
Kottayam,Kharif,Medium,Moderate,Coastal,No,Loam,Coconut
Kannur,Rabi,High,Cool,Lowland,Yes,Clay,Rice
Malappuram,Kharif,High,Cool,Upland,No,Clay,Ginger
Thiruvananthapuram,Kharif,High,Hot,Coastal,No,Loam,Coconut
Kottayam,Summer,Low,Hot,Lowland,Yes,Clay,Banana
Thiruvananthapuram,Kharif,Medium,Hot,Lowland,No,Clay,Banana
Kozhikode,Summer,High,Cool,Upland,Yes,Loam,Ginger
Thiruvananthapuram,Kharif,Low,Hot,Upland,No,Laterite,Ginger
Idukki,Kharif,Medium,Moderate,Lowland,Yes,Clay,Banana
Malappuram,Kharif,High,Moderate,Coastal,Yes,Loam,Coconut
Kannur,Summer,Medium,Moderate,Lowland,Yes,Sandy,Banana
Thiruvananthapuram,Kharif,High,Cool,Coastal,Yes,Clay,Coconut
Wayanad,Rabi,Medium,Moderate,Lowland,No,Loam,Banana
Kollam,Summer,Medium,Moderate,Upland,Yes,Laterite,Banana
Kozhikode,Rabi,High,Cool,Lowland,Yes,Clay,Rice
Kottayam,Kharif,High,Hot,Hill,No,Laterite,Pepper
Ernakulam,Summer,Medium,Cool,Lowland,No,Sandy,Banana
Ernakulam,Rabi,High,Hot,Hill,No,Laterite,Pepper
Wayanad,Kharif,Medium,Cool,Lowland,Yes,Loam,Banana
Thrissur,Kharif,Medium,Cool,Upland,No,Sandy,Rubber
Idukki,Kharif,Medium,Cool,Lowland,Yes,Loam,Banana
Ernakulam,Kharif,Medium,Hot,Coastal,No,Clay,Coconut
Idukki,Rabi,High,Cool,Coastal,Yes,Laterite,Cashew
Wayanad,Summer,High,Cool,Coastal,Yes,Laterite,Arecanut
Wayanad,Rabi,Medium,Hot,Hill,Yes,Sandy,Pepper
Malappuram,Rabi,High,Moderate,Lowland,Yes,Sandy,Rice
Kannur,Kharif,Low,Moderate,Upland,No,Loam,Tapioca
Alappuzha,Kharif,Low,Cool,Coastal,Yes,Laterite,Cashew
Kozhikode,Kharif,High,Hot,Hill,No,Clay,Pepper
Thiruvananthapuram,Kharif,High,Cool,Hill,Yes,Clay,Cardamom
Kollam,Summer,Medium,Cool,Upland,Yes,Clay,Banana
Thrissur,Summer,High,Cool,Coastal,Yes,Loam,Coconut
Pathanamthitta,Summer,Low,Moderate,Coastal,Yes,Clay,Coconut
Wayanad,Summer,High,Cool,Hill,Yes,Laterite,Tea
Wayanad,Rabi,Medium,Hot,Hill,Yes,Clay,Pepper
Palakkad,Kharif,Medium,Cool,Hill,No,Sandy,Pepper
Ernakulam,Kharif,Medium,Moderate,Hill,Yes,Laterite,Pepper
Kasaragod,Rabi,Medium,Moderate,Coastal,Yes,Laterite,Cashew
Kozhikode,Summer,High,Cool,Hill,Yes,Clay,Tea
Idukki,Kharif,High,Hot,Hill,No,Sandy,Pepper
Kozhikode,Rabi,Low,Cool,Upland,No,Clay,Tapioca
Kottayam,Kharif,Low,Cool,Hill,Yes,Sandy,Pepper
Thiruvananthapuram,Rabi,Low,Moderate,Upland,No,Clay,Tapioca
Kottayam,Kharif,Medium,Moderate,Coastal,No,Loam,Coconut
Pathanamthitta,Kharif,High,Hot,Hill,No,Sandy,Pepper
Thiruvananthapuram,Rabi,High,Cool,Coastal,No,Sandy,Cashew
Thrissur,Summer,Medium,Cool,Coastal,Yes,Clay,Coconut
Alappuzha,Kharif,High,Cool,Upland,No,Loam,Ginger
Thiruvananthapuram,Rabi,High,Moderate,Lowland,No,Loam,Banana
Ernakulam,Kharif,High,Hot,Upland,No,Sandy,Tapioca
Kasaragod,Summer,Low,Cool,Coastal,No,Clay,Coconut
Alappuzha,Summer,Low,Hot,Coastal,Yes,Clay,Coconut
Kasaragod,Summer,High,Moderate,Lowland,No,Laterite,Banana
Kollam,Kharif,Low,Moderate,Coastal,Yes,Loam,Coconut
Thiruvananthapuram,Rabi,Low,Cool,Hill,Yes,Laterite,Pepper
Wayanad,Summer,High,Moderate,Lowland,No,Loam,Banana
Kasaragod,Rabi,High,Hot,Lowland,Yes,Loam,Rice
Wayanad,Summer,Medium,Moderate,Hill,No,Sandy,Pepper
Alappuzha,Summer,High,Hot,Hill,No,Loam,Pepper
Palakkad,Kharif,Medium,Moderate,Upland,No,Clay,Rubber
Kasaragod,Rabi,High,Cool,Hill,No,Sandy,Tea
Malappuram,Rabi,Low,Moderate,Coastal,Yes,Sandy,Arecanut
Palakkad,Kharif,Low,Hot,Coastal,Yes,Clay,Coconut
Malappuram,Summer,High,Moderate,Coastal,No,Sandy,Arecanut
Kollam,Summer,High,Hot,Lowland,Yes,Clay,Rice
Kottayam,Rabi,Low,Moderate,Coastal,No,Laterite,Cashew
Thrissur,Kharif,High,Hot,Lowland,Yes,Laterite,Rice
Kollam,Summer,Low,Cool,Hill,Yes,Loam,Pepper
Kottayam,Kharif,High,Cool,Coastal,Yes,Clay,Coconut
Thiruvananthapuram,Kharif,Low,Hot,Coastal,Yes,Loam,Coconut
Alappuzha,Summer,Medium,Moderate,Lowland,Yes,Sandy,Banana
Kannur,Summer,High,Cool,Upland,Yes,Loam,Ginger
Wayanad,Rabi,High,Hot,Lowland,Yes,Sandy,Rice
Kollam,Rabi,Low,Moderate,Upland,No,Sandy,Tapioca
Idukki,Summer,Low,Hot,Lowland,No,Clay,Banana
Kannur,Rabi,Low,Moderate,Lowland,No,Laterite,Banana
Alappuzha,Kharif,Low,Moderate,Lowland,No,Loam,Banana
Alappuzha,Kharif,Low,Hot,Upland,No,Sandy,Ginger
Pathanamthitta,Kharif,Low,Cool,Hill,Yes,Laterite,Pepper
Malappuram,Rabi,High,Cool,Upland,Yes,Laterite,Ginger
Palakkad,Summer,High,Hot,Upland,No,Laterite,Ginger
Kollam,Kharif,Low,Moderate,Hill,No,Sandy,Pepper
Wayanad,Kharif,High,Moderate,Upland,Yes,Laterite,Tapioca
Wayanad,Rabi,High,Moderate,Lowland,Yes,Laterite,Rice
Alappuzha,Kharif,Low,Hot,Coastal,No,Loam,Coconut
Kottayam,Rabi,Low,Cool,Upland,Yes,Clay,Ginger
Thrissur,Rabi,High,Cool,Upland,No,Clay,Tapioca
Kozhikode,Summer,High,Cool,Lowland,No,Clay,Banana
Malappuram,Kharif,High,Hot,Upland,Yes,Sandy,Ginger
Alappuzha,Rabi,Medium,Cool,Upland,No,Loam,Banana
Kollam,Summer,Medium,Moderate,Lowland,Yes,Clay,Banana
Thrissur,Kharif,Low,Hot,Upland,Yes,Laterite,Ginger
Alappuzha,Kharif,Low,Hot,Coastal,No,Sandy,Cashew
Alappuzha,Summer,Low,Cool,Coastal,No,Laterite,Cashew
Thrissur,Kharif,Medium,Moderate,Upland,Yes,Laterite,Rubber
Pathanamthitta,Rabi,High,Moderate,Upland,No,Loam,Ginger
Wayanad,Kharif,Low,Moderate,Upland,Yes,Clay,Tapioca
Kannur,Summer,Low,Moderate,Hill,Yes,Sandy,Pepper
Kannur,Kharif,Medium,Moderate,Lowland,Yes,Clay,Banana
Thrissur,Kharif,Medium,Cool,Hill,No,Loam,Pepper
Pathanamthitta,Kharif,Medium,Moderate,Coastal,No,Loam,Coconut
Kollam,Rabi,Medium,Moderate,Coastal,No,Sandy,Arecanut
Alappuzha,Kharif,Medium,Hot,Coastal,Yes,Loam,Coconut
Kannur,Rabi,Low,Cool,Upland,No,Laterite,Ginger
Palakkad,Kharif,High,Moderate,Upland,No,Sandy,Tapioca
Ernakulam,Summer,Low,Cool,Coastal,Yes,Loam,Coconut
Kollam,Rabi,Medium,Hot,Upland,Yes,Loam,Banana
Kasaragod,Kharif,Low,Hot,Coastal,No,Loam,Coconut
Malappuram,Rabi,Low,Hot,Coastal,No,Sandy,Cashew
Malappuram,Kharif,Medium,Hot,Lowland,No,Clay,Banana
Thrissur,Summer,Medium,Hot,Coastal,No,Clay,Coconut
Malappuram,Rabi,High,Cool,Hill,No,Loam,Coffee
Thiruvananthapuram,Summer,Medium,Cool,Hill,Yes,Loam,Pepper
Thrissur,Rabi,Medium,Moderate,Lowland,No,Laterite,Banana
Thiruvananthapuram,Rabi,Medium,Moderate,Coastal,No,Loam,Coconut
Alappuzha,Kharif,Low,Moderate,Hill,Yes,Sandy,Pepper
Wayanad,Summer,Low,Moderate,Upland,Yes,Sandy,Tapioca
Kollam,Summer,Medium,Hot,Lowland,No,Laterite,Banana
Thiruvananthapuram,Rabi,Low,Hot,Coastal,No,Clay,Coconut
Kasaragod,Summer,Medium,Moderate,Hill,Yes,Clay,Pepper
Kottayam,Kharif,Low,Hot,Hill,Yes,Clay,Pepper
Thiruvananthapuram,Rabi,High,Cool,Coastal,No,Sandy,Cashew
Thrissur,Summer,High,Cool,Hill,No,Laterite,Tea
Malappuram,Summer,High,Moderate,Coastal,Yes,Laterite,Cashew
Thrissur,Rabi,Medium,Hot,Upland,Yes,Clay,Banana
Idukki,Kharif,Low,Hot,Upland,No,Loam,Ginger
Ernakulam,Summer,High,Moderate,Hill,No,Loam,Pepper
Thrissur,Rabi,Low,Hot,Hill,Yes,Clay,Pepper
Kollam,Rabi,High,Cool,Lowland,Yes,Laterite,Rice
Pathanamthitta,Summer,High,Cool,Hill,Yes,Laterite,Tea
Kannur,Kharif,High,Cool,Hill,No,Clay,Tea
Kannur,Kharif,Low,Cool,Upland,No,Clay,Tapioca
Kollam,Kharif,Low,Hot,Upland,No,Sandy,Ginger
Idukki,Kharif,Medium,Hot,Coastal,No,Loam,Coconut
Kasaragod,Rabi,High,Moderate,Upland,Yes,Loam,Tapioca
Wayanad,Summer,High,Hot,Hill,No,Loam,Pepper
Wayanad,Rabi,Medium,Hot,Lowland,No,Laterite,Banana
Thiruvananthapuram,Kharif,Medium,Moderate,Coastal,Yes,Sandy,Cashew
Kasaragod,Rabi,High,Hot,Lowland,Yes,Sandy,Rice
Kannur,Summer,Low,Hot,Coastal,Yes,Clay,Coconut
Ernakulam,Kharif,Medium,Hot,Upland,No,Clay,Rubber
Kasaragod,Summer,Low,Moderate,Upland,No,Laterite,Ginger
Kasaragod,Summer,High,Hot,Coastal,Yes,Sandy,Cashew
Pathanamthitta,Summer,Low,Hot,Coastal,No,Sandy,Arecanut
Kasaragod,Kharif,Medium,Hot,Hill,No,Clay,Pepper
Malappuram,Summer,Low,Hot,Hill,Yes,Clay,Pepper
Wayanad,Summer,Medium,Moderate,Lowland,Yes,Clay,Banana
Kannur,Rabi,Medium,Hot,Hill,Yes,Loam,Pepper
Kottayam,Rabi,Medium,Hot,Hill,Yes,Clay,Pepper
Malappuram,Rabi,Medium,Moderate,Lowland,Yes,Laterite,Banana
Malappuram,Kharif,High,Hot,Upland,No,Laterite,Ginger
Idukki,Summer,Medium,Hot,Upland,No,Loam,Banana
Wayanad,Kharif,High,Moderate,Coastal,Yes,Clay,Coconut
Kollam,Summer,Low,Hot,Lowland,Yes,Sandy,Banana
Palakkad,Rabi,Medium,Cool,Lowland,No,Loam,Banana
Idukki,Summer,High,Cool,Lowland,No,Loam,Banana
Wayanad,Summer,High,Hot,Coastal,No,Loam,Coconut
Kollam,Rabi,Low,Moderate,Upland,Yes,Clay,Tapioca
Kannur,Kharif,High,Cool,Upland,Yes,Sandy,Ginger
Idukki,Kharif,Low,Cool,Hill,No,Clay,Pepper
Palakkad,Summer,High,Cool,Upland,No,Laterite,Tapioca
Thrissur,Rabi,Low,Cool,Lowland,No,Loam,Banana
Wayanad,Kharif,Medium,Cool,Hill,No,Clay,Pepper
Malappuram,Rabi,Medium,Cool,Upland,Yes,Sandy,Banana
Kasaragod,Kharif,High,Cool,Lowland,Yes,Clay,Rice
Kollam,Summer,Medium,Hot,Hill,No,Clay,Pepper
Kannur,Kharif,Low,Moderate,Hill,No,Laterite,Pepper
Alappuzha,Summer,High,Hot,Coastal,No,Sandy,Arecanut
Wayanad,Rabi,Low,Hot,Coastal,Yes,Sandy,Cashew
Thrissur,Rabi,Low,Moderate,Hill,No,Clay,Pepper
Ernakulam,Kharif,Low,Hot,Hill,No,Sandy,Pepper
Thrissur,Kharif,High,Moderate,Upland,No,Loam,Tapioca
Kannur,Summer,High,Moderate,Coastal,No,Sandy,Cashew
Ernakulam,Kharif,Low,Cool,Hill,No,Loam,Pepper
Malappuram,Summer,Low,Moderate,Coastal,No,Loam,Coconut
Kozhikode,Summer,High,Moderate,Upland,No,Loam,Tapioca
Kannur,Summer,Low,Cool,Lowland,Yes,Loam,Banana
Wayanad,Summer,High,Moderate,Coastal,No,Sandy,Cashew
Kasaragod,Summer,Low,Moderate,Coastal,Yes,Clay,Coconut
Kozhikode,Summer,Low,Hot,Coastal,No,Laterite,Arecanut
Idukki,Summer,High,Cool,Coastal,Yes,Laterite,Cashew
Kozhikode,Summer,Low,Hot,Coastal,Yes,Sandy,Cashew
Alappuzha,Kharif,High,Hot,Coastal,Yes,Loam,Coconut
Kannur,Rabi,Low,Moderate,Coastal,Yes,Sandy,Arecanut
Pathanamthitta,Rabi,High,Hot,Lowland,Yes,Loam,Rice
Ernakulam,Summer,Low,Cool,Upland,Yes,Laterite,Tapioca
Kollam,Kharif,High,Moderate,Lowland,No,Sandy,Banana
Kottayam,Summer,Low,Moderate,Coastal,Yes,Sandy,Arecanut
Thrissur,Summer,Medium,Hot,Hill,Yes,Loam,Pepper
Pathanamthitta,Kharif,Medium,Hot,Lowland,No,Loam,Banana
Idukki,Kharif,High,Moderate,Coastal,No,Loam,Coconut
Thrissur,Summer,Medium,Cool,Hill,No,Laterite,Pepper
Pathanamthitta,Summer,High,Hot,Coastal,No,Loam,Coconut
Ernakulam,Rabi,Medium,Cool,Lowland,Yes,Sandy,Banana
Pathanamthitta,Kharif,High,Hot,Upland,Yes,Sandy,Ginger
Idukki,Kharif,Medium,Moderate,Upland,Yes,Loam,Banana
Idukki,Summer,Low,Moderate,Coastal,No,Loam,Coconut
Kozhikode,Kharif,High,Hot,Coastal,No,Loam,Coconut
